p0,p1,p2,p3,p4,objective
-0.45833489764104307,-0.18762443504285997,-2.5939245742752095,-0.6990308108557599,2.5341011400692617,-1.1574790365796868
-0.9057931380196211,-0.23578598005050022,2.006648404218205,2.8095515455933446,-0.7230441224738184,-0.18808007382485975
1.6563459502539892,-0.7696520738014891,-2.5501842780232575,-2.5870770510219177,-2.6401400653597427,0.5199026579769436
0.5491206427404993,2.8468468627900823,0.5580685358471857,1.0326503528487683,1.0279264444905536,0.1673394935016732
0.9828260334539367,0.7861973644144005,-2.17659987256764,-2.2929992260756693,-1.0032619277431785,-0.5005569947188452
-1.2344374103817874,1.6218938224025052,-2.1557337402387065,0.9128269886317044,-1.9169501130699622,-0.2613369945007433
-0.1116790822971172,-2.8516315416291467,-1.9411632117494046,-1.1817309790091706,2.6282257708342884,-0.4787343169917516
2.588465208816963,-1.9532679077580846,-0.6217555176166591,-2.58263548881834,-1.5330861293497335,0.35906991973262836
1.117248426468124,2.9994290356137636,-2.060178123419802,-2.56923120691535,2.376509041466175,-0.40815054130342016
0.45275997398302925,-2.7376200047139347,-1.980628005547182,-0.5609516401326884,-1.6150610411044766,0.49580723372312047
-2.719353469187046,0.15686811750235563,-0.6598095756991964,-1.057216287549125,3.0,1.1105261862632496
-0.43816853953725987,-1.9529421429894611,-3.0,3.0,-3.0,-1.0333565236553515
-0.4167784684533493,3.0,3.0,-3.0,2.7356053717197604,-0.35020789694419396
-0.46703083927273603,1.6341673160853754,-2.4838661082068865,-2.218949586057914,2.776797109260757,-0.816290246495541
-0.6107449659777888,-0.3039217404808223,-3.0,2.4609485944811382,-2.7914848631095763,-1.149216336512708
-0.4616623297874778,-0.2411559365259146,-2.72374073830152,-0.3476089707924066,2.649587665948485,-2.374296888782368
-0.46534849804393597,1.965633208631738,-2.7339378903875025,0.4696390840965998,-0.2565236562302249,-0.9890954992380757
-1.3063651553459692,1.2934731489556075,-3.0,2.5585796802851943,3.0,-0.04652386541662526
-1.6967013904338062,-0.10797767283177517,-2.7316940308641144,-2.3926448786128027,2.893485764463774,-0.5514662654049058
-0.23968648170679696,0.13552324571206853,-0.5422386159492709,2.808772945622864,-2.964194676839503,-0.5390713308339588
-1.9194338597571088,2.2428202954142638,3.0,0.9337040236089234,-1.1776566646626996,-0.20048206327015805
3.0,0.8025362686392894,3.0,2.669279544883633,2.295504099313016,-0.35830176130854297
1.2434887027011463,0.48025310135837174,3.0,2.987850108963089,-2.2700019626122945,0.4022546280016262
3.0,-0.43363303724143787,-3.0,1.9474367416776,0.6208906346649155,-0.32590122468002486
2.0989554131748243,-2.8464274498787443,2.982560708640907,0.1920455607106346,-2.400660327117837,1.126026068668481
-0.6231006556304894,-1.8243371677724427,-3.0,2.767095847507777,0.9554597748344755,-0.1839481347177666
-0.6397968979226181,-3.0,-0.2886518365007489,-0.445804284834856,-3.0,-1.1512009751618284
-1.030189711790889,1.4778284624526048,-2.674141898377466,-3.0,-0.2288985071958809,-0.7334988898945892
-0.5382536631708104,-1.902276183095514,-0.6604806638962528,-0.06338205666255314,2.9477669596535367,-0.467102084268775
-0.4892842991266133,3.0,-3.0,-3.0,-3.0,-0.3616543935320975
-0.7588349476182064,-1.4873981600188286,1.2251510529434704,-0.36513836997967397,-1.5500821669148968,-0.5773318320012835
-1.8390839815182294,-0.25546724565473866,-1.483427100256666,0.07398101379514266,0.8632327390136112,-0.9846780777904444
-1.5633269100828742,-0.26156712409689886,-0.3348165441109021,-0.48321301320522103,2.326522542649645,-2.4098410532477383
-1.9073202490078174,-0.2737358068003557,-2.0388640647124467,-0.34064127772703934,-1.0000247314096733,-1.483752170268485
3.0,-0.23680459455104197,2.9005196857164304,-0.49600907641697134,0.4916869293629649,-0.7127731729655202
-0.40266069259316906,-0.2528044768808604,1.167142142626047,-0.532832309390642,-0.8226260439406339,-1.912095373266732
-1.4538997210652684,-0.2562070765466564,-0.8508506606089572,-0.4712052067761707,0.42438114733916743,-0.09652144536709084
-1.7646590835246656,-3.0,2.3804517211756373,3.0,1.997065246667245,0.32537141516820245
-0.31936694106721797,2.2169679183803783,1.9853132717085602,0.2716315156529001,1.7939801560867261,-0.05627573975597133
-1.5897052818254322,-0.2628358077489512,1.5957451827709388,-2.5535200156032576,-1.2259432829285957,-0.4399394664198171
-1.568304513008041,-0.26180230057264353,-0.1586074454801869,-0.48085786334972536,1.4119758561305922,-1.546100305523801
-0.4534143133764319,-0.2563012448920494,-2.360452945463683,-0.2649456512781039,2.8576387367807463,-2.138252041911299
-0.4570602592905231,-0.2561896785633442,-1.5440688705800452,-0.6046001098776141,-2.0740239463960912,-1.80636563421089
-0.44167976940567444,-0.24202602155060404,-0.3859657125419109,-0.018683707319905984,2.6273202079949503,-2.421554131746289
-0.44348799449266263,-0.24151547873893175,1.054098649436817,0.07019560151660897,1.4815849323374382,-1.6393107344917457
-0.48575608414058324,-0.24974745268609366,1.4713300897908779,-0.06835600835586764,0.8779876256055741,-1.856911798263969
-0.43186205048565984,-0.279385048530457,-2.1858626679376187,-0.014185411733656395,-1.712826900444265,-1.6854560298168748
