0,1,2,3,4,yi
-0.413537341181328,-0.2822808825551905,0.9682903514756955,-0.3371661036355248,-1.6716625111598797,-2.518573089171458
-0.3744319767967065,-0.25882501921568574,0.18971066181522428,-0.28456002725308005,0.2125516228627552,-0.8779300405296357
-0.36411887343688676,-0.34793566554920735,-2.0064332575034154,-0.3367827338826277,-0.1712600284913326,-3.4024294170143983
-0.37224939724406675,-0.3028962099888627,-0.2839880305165411,-0.2626780826281212,-1.8136644871057745,-3.4766578060365543
-0.3549525056017528,-0.31055492500069537,-0.5004245812592761,-0.252757578031865,0.34172917534130576,-2.1472347761437325
-0.37565112416646756,-0.27015721631024575,-1.5666982353926613,-0.21482575926232983,-0.5560303467476371,-3.012842826172962
-0.34157535179522613,-0.3803332504670316,-0.9038094843304457,-0.28653252920681177,-2.7951479451945,-2.428913561273554
-0.42529947157837683,-0.2316034522537538,-2.0064332575034154,-0.28982728770329425,0.862231701609831,-2.7473754041455005
-0.37039451897748404,-0.27370269019679827,-0.27103327573789054,-0.3276098780295181,-0.8358762880567361,-3.3125968366804903
-0.42935106440834886,-0.27462493179845165,0.6825179994710038,-0.26734892715578557,-1.6019914023831996,-2.5817502766831137
-0.38728656376731596,-0.3169500842621935,-0.3208470135572945,-0.30463188672153585,-2.255296352025914,-3.913012529416169
-0.39512946905079716,-0.30396285733402584,-1.142206720072532,-0.28635435719599034,-2.167278980150012,-2.450819982492346
-0.3904630388660033,-0.2756563420379803,-0.3262721388503693,-0.22781395682461802,-2.795146827870802,-3.4461645220506973
-0.3971758808448258,-0.2802039955589928,-0.31489923724438107,-0.37643376909909243,-2.8036252803231796,-3.112288048396023
-0.39740284490072586,-0.35608685321959754,-0.3165501222671683,-0.10217598908832137,-2.44067041316899,-3.1187398655296725
-0.34990183605263914,-0.2887864910344913,-0.33213280950829915,-0.28940290998561036,-1.99299585489685,-3.476782726950124
-0.38472585580105934,-0.3139939357587225,3.0,-0.2525505960302792,3.0,-2.515506928428779
-0.3722979200451366,3.0,-0.22295656101029904,-2.087178015834361,-1.8993559429846336,-1.6978117169371116
-0.3797279792166446,-0.3383373986952858,-0.1487482186923863,-0.30694266530732417,-2.3007377218927973,-2.81144766431151
